date,market_id,commodity_id,unit,priceflag,pricetype,price,usdprice,normalized_unit,normalized_price
2016-01-15,1967,55,Unit,actual,Retail,247.52,1.25,Unit,247.52
2016-01-15,1967,64,2.8 KG,actual,Retail,576.0,2.9,KG,205.71
2016-01-15,1967,71,2.7 KG,actual,Retail,414.0,2.08,KG,153.33
2016-01-15,1967,99,2.5 KG,actual,Retail,292.0,1.47,KG,116.8
2016-01-15,1967,284,L,actual,Retail,160.0,0.81,L,160.0
2016-01-15,1967,285,L,actual,Retail,110.0,0.55,L,110.0
2016-01-15,1967,62,L,actual,Wholesale,4000.0,20.14,L,4000.0
2016-01-15,1980,55,Unit,actual,Retail,140.0,0.7,Unit,140.0
2016-01-15,1980,482,100 KG,actual,Wholesale,15450.0,77.79,KG,154.5
2016-01-15,1980,483,100 KG,actual,Wholesale,13819.0,69.58,KG,138.19
2016-01-15,1980,67,100 KG,actual,Wholesale,6060.0,30.51,KG,60.6
2016-01-15,1980,136,100 KG,actual,Wholesale,5500.0,27.69,KG,55.0
2016-01-15,1980,73,100 KG,actual,Wholesale,7267.5,36.59,KG,72.68
2016-01-15,1980,71,100 KG,actual,Wholesale,12000.0,60.42,KG,120.0
2016-01-15,1980,135,100 KG,actual,Wholesale,5420.0,27.29,KG,54.2
2016-01-15,1980,99,100 KG,actual,Wholesale,42600.0,214.5,KG,426.0
2016-01-15,1980,284,L,actual,Retail,178.0,0.9,L,178.0
2016-01-15,1980,285,L,actual,Retail,133.0,0.67,L,133.0
2016-01-15,1980,62,100 L,actual,Wholesale,6260.0,31.52,L,62.6
2016-01-15,1980,480,100 KG,actual,Wholesale,11795.0,59.39,KG,117.95
2016-01-15,1980,479,100 KG,actual,Wholesale,9525.0,47.96,KG,95.25
2016-01-15,1980,119,100 KG,actual,Wholesale,14025.0,70.62,KG,140.25
2016-01-15,1968,55,Unit,actual,Retail,260.86,1.31,Unit,260.86
2016-01-15,1968,482,100 KG,actual,Wholesale,8200.0,41.29,KG,82.0
2016-01-15,1968,483,100 KG,actual,Wholesale,8200.0,41.29,KG,82.0
2016-01-15,1968,67,100 KG,actual,Wholesale,5275.0,26.56,KG,52.75
2016-01-15,1968,136,100 KG,actual,Wholesale,5275.0,26.56,KG,52.75
2016-01-15,1968,73,100 KG,actual,Wholesale,4800.0,24.17,KG,48.0
2016-01-15,1968,64,50 KG,actual,Wholesale,9550.0,48.09,KG,191.0
2016-01-15,1968,71,100 KG,actual,Wholesale,14000.0,70.49,KG,140.0
2016-01-15,1968,481,100 KG,actual,Wholesale,4400.0,22.16,KG,44.0
2016-01-15,1968,135,100 KG,actual,Wholesale,4400.0,22.16,KG,44.0
2016-01-15,1968,99,2.5 KG,actual,Retail,419.0,2.11,KG,167.6
2016-01-15,1968,284,L,actual,Retail,150.0,0.76,L,150.0
2016-01-15,1968,285,L,actual,Retail,135.0,0.68,L,135.0
2016-01-15,1968,62,100 L,actual,Wholesale,5300.0,26.69,L,53.0
2016-01-15,1968,480,100 KG,actual,Wholesale,12250.0,61.68,KG,122.5
2016-01-15,1968,479,100 KG,actual,Wholesale,11225.0,56.52,KG,112.25
