market_id,market,admin1,admin2,latitude,longitude
1038,Jibia (CBM),Katsina,Jibia,13.08,7.24
1039,Mai Adoua (CBM),Katsina,Mai'Adua,13.18,8.23
1040,Damassack (CBM),Borno,Mobbar,13.01,12.56
1041,Mai Gatari (CBM),Jigawa,Maigatari,12.78,9.44
1967,Aba,Abia,Oboma Ngwa,5.15,7.36
1968,Biu,Borno,Biu,10.61,12.19
1969,Damaturu,Yobe,Damaturu,11.74,11.96
1970,Dandume,Katsina,Dandume,11.42,7.2
1971,Giwa,Kaduna,Giwa,11.28,7.42
1972,Gombe,Gombe,Akko,10.28,11.17
1973,Gujungu,Jigawa,Kaugama,12.36,9.58
1974,Gwandu,Kebbi,Gwandu,12.49,4.64
1975,Ibadan,Oyo,Ibadan North,7.4,3.92
1976,Dawanau,Kano,Dawakin Tofa,12.09,8.43
1977,Kaura Namoda,Zamfara,Kaura Namoda,12.6,6.59
1978,Lagos,Lagos,Kosofe,6.61,3.4
1979,Maiduguri,Borno,Maiduguri,11.83,13.15
1980,Mubi,Adamawa,Hong,10.27,13.26
1981,Potiskum,Yobe,Potiskum,11.71,11.08
1982,Saminaka,Kaduna,Lere,10.42,8.68
2384,Budum,Borno,Maiduguri,11.85,13.16
2385,Baga Road,Borno,Konduga,11.87,13.12
2386,Bullunkutu,Borno,Konduga,11.83,13.09
2387,Nguru,Yobe,Nguru,12.87,10.45
2388,Bade (Gashua),Yobe,Karasuwa,12.87,11.04
2389,Yusufari,Yobe,Yusufari,13.06,11.17
2390,Gujba (Buni Yadi),Yobe,Gujba,11.29,12.0
2391,Damaturu (Sunday Market),Yobe,Damaturu,11.74,11.96
2392,Yunusari,Yobe,Yunusari,13.15,11.54
2393,Geidam,Yobe,Geidam,12.89,11.92
2394,Abba Gamaram,Borno,Konduga,11.86,13.15
2395,Custom,Borno,Maiduguri,11.85,13.17
2396,Kusawam Shanu,Borno,Maiduguri,11.86,13.18
2397,Monday,Borno,Maiduguri,11.83,13.15
2398,Tashan Bama,Borno,Maiduguri,11.81,13.18
2399,Jakusko,Yobe,Jakusko,12.2,10.88
2400,Gulani (Tettaba),Yobe,Gulani,10.81,11.73
2401,Bursari,Yobe,Borsari,12.5,11.5
3073,Bolori Stores,Borno,Konduga,11.85,13.14
3165,Kasuwan Duya Market,Borno,Konduga,11.82,13.12
3168,Jakana,Borno,Konduga,11.66,13.42
3169,Ngala,Borno,Ngala,12.37,14.22
3170,Tudun Saibu,Kaduna,Soba,11.03,7.91
3171,Monguno,Borno,Guzamala,12.67,13.62
3172,Guyuk,Gombe,Balanga,9.82,11.94
3173,Konduga,Borno,Konduga,11.66,13.42
3174,Magumeri Central,Borno,Magumeri,12.11,12.83
3175,Madagali,Adamawa,Madagali,10.89,13.63
3176,Briyel,Borno,Bayo,10.37,11.67
3177,Damboa,Borno,Damboa,11.16,12.76
3178,Benishiek,Borno,Kaga,11.81,12.5
3179,Fufore,Adamawa,Yola South,9.2,12.71
3180,Yan Doya,Borno,Maiduguri,11.86,13.19
3181,Bakori Grains,Katsina,Bakori,11.57,7.43
3182,Ngalang,Adamawa,Numan,9.46,12.03
3183,Kwaya,Borno,Bayo,10.5,11.84
3184,Kashuwan Shanu,Borno,Maiduguri,11.86,13.18
3186,Old,Adamawa,Demsa,9.26,12.42
3187,Ganye New,Adamawa,Ganye,8.44,12.05
3188,Michika,Adamawa,Michika,10.57,13.53
3189,Gwoza Central,Borno,Gwoza,11.09,13.7
3190,Ngurore,Adamawa,Demsa,9.29,12.24
3191,Uba,Borno,Askira,10.46,13.22
3192,Dikwa Central,Borno,Mafa,12.04,13.91
3193,Gamboru,Borno,Maiduguri,11.85,13.17
3194,Hong,Adamawa,Hong,10.23,12.92
3195,Cattle,Adamawa,Fufore,9.18,12.42
3196,Lafiya,Adamawa,Lamurde,9.61,11.79
3197,Hadeja,Jigawa,Hadejia,12.45,10.03
3198,Bayantasha,Yobe,Damaturu,11.74,11.96
3199,Jimeta Grain,Adamawa,Demsa,9.28,12.4
3200,Gulak,Adamawa,Madagali,10.8,13.46
3201,Gombi New,Borno,Hawul,10.41,12.57
3202,Bama,Borno,Konduga,11.52,13.69
6422,Gajiram,Borno,Nganzai,12.49,13.21
6423,Mafa,Borno,Mafa,11.92,13.6
6431,Banki,Borno,Konduga,11.54,13.7
6432,Pulka,Borno,Gwoza,11.23,13.78
6437,Jajimaji,Yobe,Karasuwa,12.95,10.79
6438,Biriri,Yobe,Tarmuwa,12.15,11.76
6439,Damagum,Yobe,Fune,11.68,11.34
6879,Shani Main Market,Borno,Shani,10.22,12.05
8019,Abuja,Abuja,Abuja Municipal,9.04,7.48
8021,Machina Central,Yobe,Machina,12.92,9.9
8022,Gadaka new,Yobe,Fika,11.29,11.3
8361,Rann,Borno,Kala,12.02,14.49
10645,Gidan Madi,Sokoto,Tangaza,13.5,4.96
10646,Rabah,Sokoto,Rabah,13.12,5.51
10647,Bodinga,Sokoto,Bodinga,12.88,5.17
10648,Wurno,Sokoto,Wurno,13.29,5.42
10649,Wamako,Sokoto,Wamako,13.04,5.12
10650,Silame,Sokoto,Silame,12.99,4.82
10651,Kara,Sokoto,Sokoto North,13.07,5.24
10652,Bungudu,Zamfara,Bungudu,12.27,6.55
10653,Talata Mafara,Zamfara,Bakura,12.56,6.06
10654,Maru,Zamfara,Maru,11.37,6.32
10655,Gusau,Zamfara,Gusau,12.16,6.67
10656,Anka,Zamfara,Anka,11.92,5.98
10657,Gummi,Zamfara,Gummi,11.93,5.14
10658,Batsari,Katsina,Batsari,12.76,7.25
10659,Safana,Katsina,Safana,12.41,7.41
10660,Dutsin Ma,Katsina,Dutsinma,12.44,7.49
10661,Kurfi,Katsina,Kurfi,12.67,7.48
10662,Dan Musa,Katsina,Danmusa,12.26,7.33
10663,Katsina,Katsina,Katsina,12.98,7.62
10664,Kankara,Katsina,Kankara,11.93,7.41
10665,Matazu,Katsina,Matazu,12.24,7.67
10666,Musawa,Katsina,Musawa,12.13,7.67
10667,Kafur,Katsina,Kafur,11.65,7.65
10668,Mubi North,Adamawa,Hong,10.38,13.31
10669,"Mubi South,",Adamawa,Mubi South,10.19,13.34
10670,Gombi,Adamawa,Girie,10.17,12.74
10714,Nangere,Yobe,Nangere,11.86,11.07
10900,Jimeta,Adamawa,Demsa,9.28,12.46
10901,Girei,Adamawa,Gombi,9.43,12.48
10902,Yola,Adamawa,Demsa,9.25,12.44
10943,Ngelzarma,Yobe,Fune,11.69,11.62
